질문,답변
2024.12에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,360,840.0달러입니다."
2024.12에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 인도에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 272.0달러입니다."
2024.12에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 27,875,196.0달러입니다."
2024.12에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,327.0달러입니다."
2024.12에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 468,851,015.0달러입니다."
2024.12에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 232.0달러입니다."
2024.12에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 2,038,584.0달러입니다."
2024.12에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 태국에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 77.0달러입니다."
2024.12에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 프랑스에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 13,167,232.0달러입니다."
2024.12에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 프랑스에서 가장 적게 거래된 품목은 천연 성분 세제이며, 총 거래액은 36,793.0달러입니다."
2024.12에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 호주에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 4,992,456.0달러입니다."
2024.12에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 호주에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 380.0달러입니다."
2025.01에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 대만에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 5,389,414.0달러입니다."
2025.01에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,805.0달러입니다."
2025.01에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 95,875,530.0달러입니다."
2025.01에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 269.0달러입니다."
2025.01에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 179,564,532.0달러입니다."
2025.01에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 560.0달러입니다."
2025.01에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 21,493,755.0달러입니다."
2025.01에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 13.0달러입니다."
2025.01에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 인도에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 9,454,435.0달러입니다."
2025.01에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 인도에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,422.0달러입니다."
2025.01에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 24,959,950.0달러입니다."
2025.01에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,622.0달러입니다."
2025.01에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 274,658,641.0달러입니다."
2025.01에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 59.0달러입니다."
2025.01에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 태국에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 2,752,904.0달러입니다."
2025.01에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,165.0달러입니다."
2025.01에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,644,768.0달러입니다."
2025.01에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 프랑스에서 가장 적게 거래된 품목은 실리콘 식기/빨대이며, 총 거래액은 75,691.0달러입니다."
2025.01에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 21,850,548.0달러입니다."
2025.01에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 호주에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 318.0달러입니다."
2025.02에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 5,786,429.0달러입니다."
2025.02에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 대만에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 16.0달러입니다."
2025.02에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 137,343,400.0달러입니다."
2025.02에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 독일에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 1,766.0달러입니다."
2025.02에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 194,045,614.0달러입니다."
2025.02에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,872.0달러입니다."
2025.02에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 17,145,186.0달러입니다."
2025.02에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,058.0달러입니다."
2025.02에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 15,905,021.0달러입니다."
2025.02에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 62,170.0달러입니다."
2025.02에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 20,878,685.0달러입니다."
2025.02에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 7.0달러입니다."
2025.02에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 257,257,705.0달러입니다."
2025.02에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 403.0달러입니다."
2025.02에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 태국에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 4,341,763.0달러입니다."
2025.02에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 7,781.0달러입니다."
2025.02에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 28,752,817.0달러입니다."
2025.02에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 프랑스에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 4.0달러입니다."
2025.02에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,780,246.0달러입니다."
2025.02에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 16,742.0달러입니다."
2025.03에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 대만에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 28,303,611.0달러입니다."
2025.03에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 2,657.0달러입니다."
2025.03에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 197,225,211.0달러입니다."
2025.03에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 25,863.0달러입니다."
2025.03에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 192,022,072.0달러입니다."
2025.03에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 644.0달러입니다."
2025.03에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,540,783.0달러입니다."
2025.03에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,913.0달러입니다."
2025.03에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 11,133,620.0달러입니다."
2025.03에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 7,174.0달러입니다."
2025.03에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,429,935.0달러입니다."
2025.03에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 일본에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,398.0달러입니다."
2025.03에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 301,707,779.0달러입니다."
2025.03에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 중국에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 933.0달러입니다."
2025.03에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 2,632,725.0달러입니다."
2025.03에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 12,138.0달러입니다."
2025.03에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,768,016.0달러입니다."
2025.03에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 프랑스에서 가장 적게 거래된 품목은 천연 성분 세제이며, 총 거래액은 50,266.0달러입니다."
2025.03에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 21,899,680.0달러입니다."
2025.03에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 387.0달러입니다."
2025.04에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 대만에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 7,331,175.0달러입니다."
2025.04에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 대만에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 9,595.0달러입니다."
2025.04에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 188,388,285.0달러입니다."
2025.04에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 독일에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 4,515.0달러입니다."
2025.04에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 260,217,386.0달러입니다."
2025.04에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 미국에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 64.0달러입니다."
2025.04에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 20,389,129.0달러입니다."
2025.04에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 1,275.0달러입니다."
2025.04에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 11,163,885.0달러입니다."
2025.04에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 49.0달러입니다."
2025.04에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,949,800.0달러입니다."
2025.04에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 898.0달러입니다."
2025.04에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 336,085,258.0달러입니다."
2025.04에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 147.0달러입니다."
2025.04에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 1,670,330.0달러입니다."
2025.04에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 태국에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 1,395.0달러입니다."
2025.04에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 39,541,539.0달러입니다."
2025.04에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 프랑스에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 201.0달러입니다."
2025.04에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 29,790,567.0달러입니다."
2025.04에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 호주에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 44.0달러입니다."
2025.05에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 6,141,044.0달러입니다."
2025.05에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 대만에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 172.0달러입니다."
2025.05에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 200,177,834.0달러입니다."
2025.05에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 독일에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 23,742.0달러입니다."
2025.05에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 175,347,671.0달러입니다."
2025.05에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 4,677.0달러입니다."
2025.05에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 17,486,037.0달러입니다."
2025.05에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,566.0달러입니다."
2025.05에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 9,417,653.0달러입니다."
2025.05에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,268.0달러입니다."
2025.05에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,320,251.0달러입니다."
2025.05에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 1,631.0달러입니다."
2025.05에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 287,694,212.0달러입니다."
2025.05에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 중국에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 6,177.0달러입니다."
2025.05에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 3,129,299.0달러입니다."
2025.05에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,850.0달러입니다."
2025.05에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 17,933,826.0달러입니다."
2025.05에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 프랑스에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 718.0달러입니다."
2025.05에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 17,636,901.0달러입니다."
2025.05에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 호주에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 109.0달러입니다."
금속 빨대는 어느 시기에 가장 많이 거래되었나요?,"금속 빨대(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 4,043,296.0달러입니다."
금속 빨대는 어느 시기에 가장 적게 거래되었나요?,"금속 빨대(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 2,253,207.0달러입니다."
"슬래그 울, 단열재는 어느 시기에 가장 많이 거래되었나요?","슬래그 울, 단열재(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 8,255,696.0달러입니다."
"슬래그 울, 단열재는 어느 시기에 가장 적게 거래되었나요?","슬래그 울, 단열재(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 4,897,089.0달러입니다."
실리콘 식기/빨대는 어느 시기에 가장 많이 거래되었나요?,"실리콘 식기/빨대(은)은 2024.12에 가장 많이 거래되었으며, 총 거래액은 16,994,102.0달러입니다."
실리콘 식기/빨대는 어느 시기에 가장 적게 거래되었나요?,"실리콘 식기/빨대(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 13,820,250.0달러입니다."
유기농 면화는 어느 시기에 가장 많이 거래되었나요?,"유기농 면화(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 6,890,709.0달러입니다."
유기농 면화는 어느 시기에 가장 적게 거래되었나요?,"유기농 면화(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 2,308,846.0달러입니다."
전기 이륜차는 어느 시기에 가장 많이 거래되었나요?,"전기 이륜차(은)은 2024.09에 가장 많이 거래되었으며, 총 거래액은 13,127,025.0달러입니다."
전기 이륜차는 어느 시기에 가장 적게 거래되었나요?,"전기 이륜차(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 3,750,446.0달러입니다."
전기자동차는 어느 시기에 가장 많이 거래되었나요?,"전기자동차(은)은 2025.05에 가장 많이 거래되었으며, 총 거래액은 531,874,793.0달러입니다."
전기자동차는 어느 시기에 가장 적게 거래되었나요?,"전기자동차(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 275,172,404.0달러입니다."
전기차용 리튬이온 배터리는 어느 시기에 가장 많이 거래되었나요?,"전기차용 리튬이온 배터리(은)은 2024.12에 가장 많이 거래되었으며, 총 거래액은 969,890,259.0달러입니다."
전기차용 리튬이온 배터리는 어느 시기에 가장 적게 거래되었나요?,"전기차용 리튬이온 배터리(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 509,553,366.0달러입니다."
전력 변환장치 (인버터)은 어느 시기에 가장 많이 거래되었나요?,"전력 변환장치 (인버터)(은)은 2024.1에 가장 많이 거래되었으며, 총 거래액은 253,311,490.0달러입니다."
전력 변환장치 (인버터)은 어느 시기에 가장 적게 거래되었나요?,"전력 변환장치 (인버터)(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 176,846,378.0달러입니다."
"종이 빨대, 포장재는 어느 시기에 가장 많이 거래되었나요?","종이 빨대, 포장재(은)은 2025.03에 가장 많이 거래되었으며, 총 거래액은 10,662,930.0달러입니다."
"종이 빨대, 포장재는 어느 시기에 가장 적게 거래되었나요?","종이 빨대, 포장재(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 4,414,761.0달러입니다."
천연 고무 라텍스는 어느 시기에 가장 많이 거래되었나요?,"천연 고무 라텍스(은)은 2024.07에 가장 많이 거래되었으며, 총 거래액은 2,096,752.0달러입니다."
천연 고무 라텍스는 어느 시기에 가장 적게 거래되었나요?,"천연 고무 라텍스(은)은 2025.04에 가장 적게 거래되었으며, 총 거래액은 1,539,056.0달러입니다."
천연 비료는 어느 시기에 가장 많이 거래되었나요?,"천연 비료(은)은 2025.05에 가장 많이 거래되었으며, 총 거래액은 2,984,698.0달러입니다."
천연 비료는 어느 시기에 가장 적게 거래되었나요?,"천연 비료(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 1,050,095.0달러입니다."
천연 성분 세제는 어느 시기에 가장 많이 거래되었나요?,"천연 성분 세제(은)은 2025.03에 가장 많이 거래되었으며, 총 거래액은 25,316,323.0달러입니다."
천연 성분 세제는 어느 시기에 가장 적게 거래되었나요?,"천연 성분 세제(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 17,027,587.0달러입니다."
태양열 집열기는 어느 시기에 가장 많이 거래되었나요?,"태양열 집열기(은)은 2024.09에 가장 많이 거래되었으며, 총 거래액은 1,013,249.0달러입니다."
태양열 집열기는 어느 시기에 가장 적게 거래되었나요?,"태양열 집열기(은)은 2024.11에 가장 적게 거래되었으며, 총 거래액은 93,974.0달러입니다."
풍력 터빈용 발전기는 어느 시기에 가장 많이 거래되었나요?,"풍력 터빈용 발전기(은)은 2024.06에 가장 많이 거래되었으며, 총 거래액은 48,191,576.0달러입니다."
풍력 터빈용 발전기는 어느 시기에 가장 적게 거래되었나요?,"풍력 터빈용 발전기(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 2,359.0달러입니다."
-은 어느 국가로 가장 많이 수출되었나요?,"-은 -에 약 7,947,275,655달러 수출되어 가장 많은 수출량을 기록했습니다."
-은 어느 국가에서 가장 많이 수입되었나요?,"-은 -로부터 약 8,323,739,686달러 수입되어 가장 많은 수입량을 기록했습니다."
-은 어떤 월에 가장 많이 수출되었나요?,"-은 총계에 약 7,947,275,655달러 수출되어 가장 높은 수출 실적을 기록했습니다."
-은 어떤 월에 가장 많이 수입되었나요?,"-은 총계에 약 8,323,739,686달러 수입되어 가장 높은 수입 실적을 기록했습니다."
천연 비료는 어느 국가로 가장 많이 수출되었나요?,"천연 비료는 베트남에 약 18,583,561달러 수출되어 가장 많은 수출량을 기록했습니다."
천연 비료는 어느 국가에서 가장 많이 수입되었나요?,"천연 비료는 중국로부터 약 1,183,197달러 수입되어 가장 많은 수입량을 기록했습니다."
천연 비료는 어떤 월에 가장 많이 수출되었나요?,"천연 비료는 2025.05에 약 2,704,083달러 수출되어 가장 높은 수출 실적을 기록했습니다."
천연 비료는 어떤 월에 가장 많이 수입되었나요?,"천연 비료는 2025.04에 약 437,938달러 수입되어 가장 높은 수입 실적을 기록했습니다."
천연 성분 세제는 어느 국가로 가장 많이 수출되었나요?,"천연 성분 세제는 중국에 약 67,642,350달러 수출되어 가장 많은 수출량을 기록했습니다."
천연 성분 세제는 어느 국가에서 가장 많이 수입되었나요?,"천연 성분 세제는 중국로부터 약 27,367,897달러 수입되어 가장 많은 수입량을 기록했습니다."
천연 성분 세제는 어떤 월에 가장 많이 수출되었나요?,"천연 성분 세제는 2024.07에 약 17,257,200달러 수출되어 가장 높은 수출 실적을 기록했습니다."
천연 성분 세제는 어떤 월에 가장 많이 수입되었나요?,"천연 성분 세제는 2025.04에 약 9,421,611달러 수입되어 가장 높은 수입 실적을 기록했습니다."
실리콘 식기/빨대는 어느 국가로 가장 많이 수출되었나요?,"실리콘 식기/빨대는 미국에 약 22,236,298달러 수출되어 가장 많은 수출량을 기록했습니다."
실리콘 식기/빨대는 어느 국가에서 가장 많이 수입되었나요?,"실리콘 식기/빨대는 중국로부터 약 112,323,575달러 수입되어 가장 많은 수입량을 기록했습니다."
실리콘 식기/빨대는 어떤 월에 가장 많이 수출되었나요?,"실리콘 식기/빨대는 2025.05에 약 4,293,390달러 수출되어 가장 높은 수출 실적을 기록했습니다."
